title,release_year,runtime,genre,rating,gross
The Shawshank Redemption,1994,142 min,Drama,9.3,$28.34M
The Godfather,1972,175 min,"Crime, Drama",9.2,$134.97M
The Dark Knight,2008,152 min,"Action, Crime, Drama",9,$534.86M
Schindler's List,1993,195 min,"Biography, Drama, History",9,$96.90M
12 Angry Men,1957,96 min,"Crime, Drama",9,$4.36M
The Lord of the Rings: The Return of the King,2003,201 min,"Action, Adventure, Drama",9,$377.85M
The Godfather Part II,1974,202 min,"Crime, Drama",9,$57.30M
Spider-Man: Across the Spider-Verse,2023,140 min,"Animation, Action, Adventure",8.9,0
Pulp Fiction,1994,154 min,"Crime, Drama",8.9,$107.93M
Inception,2010,148 min,"Action, Adventure, Sci-Fi",8.8,$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001,178 min,"Action, Adventure, Drama",8.8,$315.54M
Fight Club,1999,139 min,Drama,8.8,$37.03M
Forrest Gump,1994,142 min,"Drama, Romance",8.8,$330.25M
"The Good, the Bad and the Ugly",1966,178 min,"Adventure, Western",8.8,$6.10M
The Lord of the Rings: The Two Towers,2002,179 min,"Action, Adventure, Drama",8.8,$342.55M
Jai Bhim,2021,164 min,"Crime, Drama, Mystery",8.8,0
777 Charlie,2022,164 min,"Adventure, Comedy, Drama",8.8,0
Interstellar,2014,169 min,"Adventure, Drama, Sci-Fi",8.7,$188.02M
Goodfellas,1990,145 min,"Biography, Crime, Drama",8.7,$46.84M
The Matrix,1999,136 min,"Action, Sci-Fi",8.7,$171.48M
One Flew Over the Cuckoo's Nest,1975,133 min,Drama,8.7,$112.00M
Star Wars: Episode V - The Empire Strikes Back,1980,124 min,"Action, Adventure, Fantasy",8.7,$290.48M
Rocketry: The Nambi Effect,2022,157 min,"Biography, Drama",8.7,0
Soorarai Pottru,2020,153 min,"Action, Drama",8.7,0
The Green Mile,1999,189 min,"Crime, Drama, Fantasy",8.6,$136.80M
Terminator 2: Judgment Day,1991,137 min,"Action, Sci-Fi",8.6,$204.84M
Se7en,1995,127 min,"Crime, Drama, Mystery",8.6,$100.13M
Saving Private Ryan,1998,169 min,"Drama, War",8.6,$216.54M
The Silence of the Lambs,1991,118 min,"Crime, Drama, Thriller",8.6,$130.74M
Star Wars: Episode IV - A New Hope,1977,121 min,"Action, Adventure, Fantasy",8.6,$322.74M
Spirited Away,2001,125 min,"Animation, Adventure, Family",8.6,$10.06M
City of God,2002,130 min,"Crime, Drama",8.6,$7.56M
Life Is Beautiful,1997,116 min,"Comedy, Drama, Romance",8.6,$57.60M
Seven Samurai,1954,207 min,"Action, Drama",8.6,$0.27M
It's a Wonderful Life,1946,130 min,"Drama, Family, Fantasy",8.6,0
Harakiri,1962,133 min,"Action, Drama, Mystery",8.6,0
Sita Ramam,2022,163 min,"Action, Drama, Mystery",8.6,0
Back to the Future,1985,116 min,"Adventure, Comedy, Sci-Fi",8.5,$210.61M
The Departed,2006,151 min,"Crime, Drama, Thriller",8.5,$132.38M
Gladiator,2000,155 min,"Action, Adventure, Drama",8.5,$187.71M
Alien,1979,117 min,"Horror, Sci-Fi",8.5,$78.90M
Parasite,2019,132 min,"Drama, Thriller",8.5,$53.37M
The Prestige,2006,130 min,"Drama, Mystery, Sci-Fi",8.5,$53.09M
Whiplash,2014,106 min,"Drama, Music",8.5,$13.09M
LÌ©on: The Professional,1994,110 min,"Action, Crime, Drama",8.5,$19.50M
The Lion King,1994,88 min,"Animation, Adventure, Drama",8.5,$422.78M
The Usual Suspects,1995,106 min,"Crime, Drama, Mystery",8.5,$23.34M
Casablanca,1942,102 min,"Drama, Romance, War",8.5,$1.02M
American History X,1998,119 min,"Crime, Drama",8.5,$6.72M
Psycho,1960,109 min,"Horror, Mystery, Thriller",8.5,$32.00M
The Pianist,2002,150 min,"Biography, Drama, Music",8.5,$32.57M
The Intouchables,2011,112 min,"Biography, Comedy, Drama",8.5,$13.18M
Once Upon a Time in the West,1968,165 min,Western,8.5,$5.32M
Grave of the Fireflies,1988,89 min,"Animation, Drama, War",8.5,0
Rear Window,1954,112 min,"Mystery, Thriller",8.5,$36.76M
Cinema Paradiso,1988,155 min,"Drama, Romance",8.5,$11.99M
Modern Times,1936,87 min,"Comedy, Drama, Romance",8.5,$0.16M
City Lights,1931,87 min,"Comedy, Drama, Romance",8.5,$0.02M
96,(II) (2018),158 min,"Drama, Romance",8.5,0
Indiana Jones and the Raiders of the Lost Ark,1981,115 min,"Action, Adventure",8.4,$248.16M
Spider-Man: Into the Spider-Verse,2018,117 min,"Animation, Action, Adventure",8.4,$190.24M
Avengers: Endgame,2019,181 min,"Action, Adventure, Drama",8.4,$858.37M
Django Unchained,2012,165 min,"Drama, Western",8.4,$162.81M
Apocalypse Now,1979,147 min,"Drama, Mystery, War",8.4,$83.47M
Aliens,1986,137 min,"Action, Adventure, Sci-Fi",8.4,$85.16M
Joker,(I) (2019),122 min,"Crime, Drama, Thriller",8.4,$335.45M
The Dark Knight Rises,2012,164 min,"Action, Drama, Thriller",8.4,$448.14M
Avengers: Infinity War,2018,149 min,"Action, Adventure, Sci-Fi",8.4,$678.82M
The Shining,1980,146 min,"Drama, Horror",8.4,$44.02M
Oldboy,2003,120 min,"Action, Drama, Mystery",8.4,$0.71M
Memento,2000,113 min,"Mystery, Thriller",8.4,$25.54M
Amadeus,1984,160 min,"Biography, Drama, Music",8.4,$51.97M
Come and See,1985,142 min,"Drama, Thriller, War",8.4,0
Coco,(I) (2017),105 min,"Animation, Adventure, Drama",8.4,$209.73M
Your Name.,2016,106 min,"Animation, Drama, Fantasy",8.4,$5.02M
WALLåáE,2008,98 min,"Animation, Adventure, Family",8.4,$223.81M
3 Idiots,2009,170 min,"Comedy, Drama",8.4,$6.53M
The Lives of Others,2006,137 min,"Drama, Mystery, Thriller",8.4,$11.29M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95 min,"Comedy, War",8.4,$0.28M
Das Boot,1981,149 min,"Drama, War",8.4,$11.49M
Capernaum,2018,126 min,Drama,8.4,$1.66M
Sunset Blvd.,1950,110 min,"Drama, Film-Noir",8.4,0
Paths of Glory,1957,88 min,"Drama, War",8.4,0
Witness for the Prosecution,1957,116 min,"Crime, Drama, Mystery",8.4,$8.18M
The Great Dictator,1940,125 min,"Comedy, Drama, War",8.4,$0.29M
High and Low,1963,143 min,"Crime, Drama, Mystery",8.4,0
Kaithi,2019,145 min,"Action, Adventure, Crime",8.4,0
Sardar Udham,2021,164 min,"Biography, Crime, Drama",8.4,0
Asuran,2019,141 min,"Action, Drama",8.4,0
Drishyam 2,2021,152 min,"Crime, Drama, Thriller",8.4,0
Top Gun: Maverick,2022,130 min,"Action, Drama",8.3,$718.73M
Heat,1995,170 min,"Action, Crime, Drama",8.3,$67.44M
Inglourious Basterds,2009,153 min,"Adventure, Drama, War",8.3,$120.54M
Full Metal Jacket,1987,116 min,"Drama, War",8.3,$46.36M
Scarface,1983,170 min,"Crime, Drama",8.3,$45.60M
American Beauty,1999,122 min,Drama,8.3,$130.10M
Requiem for a Dream,2000,102 min,Drama,8.3,$3.64M
Good Will Hunting,1997,126 min,"Drama, Romance",8.3,$138.43M
Eternal Sunshine of the Spotless Mind,2004,108 min,"Drama, Romance, Sci-Fi",8.3,$34.40M
A Clockwork Orange,1971,136 min,"Crime, Sci-Fi",8.3,$6.21M
